# r                      g(r)
2.500000000000000052e-04 0.000000000000000000e+00
7.500000000000000156e-04 0.000000000000000000e+00
1.250000000000000026e-03 0.000000000000000000e+00
1.750000000000000036e-03 0.000000000000000000e+00
2.250000000000000264e-03 0.000000000000000000e+00
2.749999999999999840e-03 0.000000000000000000e+00
3.250000000000000284e-03 0.000000000000000000e+00
3.749999999999999861e-03 0.000000000000000000e+00
4.250000000000000305e-03 0.000000000000000000e+00
4.750000000000000749e-03 0.000000000000000000e+00
5.250000000000000326e-03 0.000000000000000000e+00
5.749999999999999903e-03 0.000000000000000000e+00
6.250000000000000347e-03 0.000000000000000000e+00
6.750000000000000791e-03 0.000000000000000000e+00
7.250000000000000368e-03 0.000000000000000000e+00
7.749999999999999944e-03 0.000000000000000000e+00
8.250000000000000389e-03 0.000000000000000000e+00
8.750000000000000833e-03 0.000000000000000000e+00
9.250000000000001277e-03 0.000000000000000000e+00
9.749999999999999986e-03 0.000000000000000000e+00
1.025000000000000043e-02 0.000000000000000000e+00
1.075000000000000087e-02 0.000000000000000000e+00
1.124999999999999958e-02 0.000000000000000000e+00
1.175000000000000003e-02 0.000000000000000000e+00
1.225000000000000047e-02 0.000000000000000000e+00
1.275000000000000092e-02 0.000000000000000000e+00
1.325000000000000136e-02 0.000000000000000000e+00
1.375000000000000007e-02 0.000000000000000000e+00
1.425000000000000051e-02 0.000000000000000000e+00
1.475000000000000096e-02 0.000000000000000000e+00
1.524999999999999967e-02 0.000000000000000000e+00
1.575000000000000011e-02 0.000000000000000000e+00
1.625000000000000056e-02 0.000000000000000000e+00
1.675000000000000100e-02 0.000000000000000000e+00
1.725000000000000144e-02 0.000000000000000000e+00
1.775000000000000189e-02 0.000000000000000000e+00
1.825000000000000233e-02 0.000000000000000000e+00
1.874999999999999931e-02 0.000000000000000000e+00
1.924999999999999975e-02 0.000000000000000000e+00
1.975000000000000019e-02 0.000000000000000000e+00
2.025000000000000064e-02 0.000000000000000000e+00
2.075000000000000108e-02 0.000000000000000000e+00
2.125000000000000153e-02 0.000000000000000000e+00
2.175000000000000197e-02 0.000000000000000000e+00
2.224999999999999895e-02 0.000000000000000000e+00
2.274999999999999939e-02 0.000000000000000000e+00
2.324999999999999983e-02 0.000000000000000000e+00
2.375000000000000028e-02 0.000000000000000000e+00
2.425000000000000072e-02 0.000000000000000000e+00
2.475000000000000117e-02 0.000000000000000000e+00
2.525000000000000161e-02 0.000000000000000000e+00
2.575000000000000205e-02 0.000000000000000000e+00
2.625000000000000250e-02 0.000000000000000000e+00
2.674999999999999947e-02 0.000000000000000000e+00
2.724999999999999992e-02 0.000000000000000000e+00
2.775000000000000036e-02 0.000000000000000000e+00
2.825000000000000080e-02 0.000000000000000000e+00
2.875000000000000125e-02 0.000000000000000000e+00
2.925000000000000169e-02 0.000000000000000000e+00
2.975000000000000214e-02 0.000000000000000000e+00
3.024999999999999911e-02 0.000000000000000000e+00
3.074999999999999956e-02 0.000000000000000000e+00
3.125000000000000000e-02 0.000000000000000000e+00
3.175000000000000044e-02 0.000000000000000000e+00
3.225000000000000089e-02 0.000000000000000000e+00
3.275000000000000133e-02 0.000000000000000000e+00
3.325000000000000178e-02 0.000000000000000000e+00
3.375000000000000222e-02 0.000000000000000000e+00
3.425000000000000266e-02 0.000000000000000000e+00
3.475000000000000311e-02 0.000000000000000000e+00
3.525000000000000355e-02 0.000000000000000000e+00
3.575000000000000400e-02 0.000000000000000000e+00
3.625000000000000444e-02 0.000000000000000000e+00
3.674999999999999795e-02 0.000000000000000000e+00
3.724999999999999839e-02 0.000000000000000000e+00
3.774999999999999883e-02 0.000000000000000000e+00
3.824999999999999928e-02 0.000000000000000000e+00
3.874999999999999972e-02 0.000000000000000000e+00
3.925000000000000017e-02 0.000000000000000000e+00
3.975000000000000061e-02 0.000000000000000000e+00
4.025000000000000105e-02 0.000000000000000000e+00
4.075000000000000150e-02 0.000000000000000000e+00
4.125000000000000194e-02 0.000000000000000000e+00
4.175000000000000239e-02 0.000000000000000000e+00
4.225000000000000283e-02 0.000000000000000000e+00
4.275000000000000328e-02 0.000000000000000000e+00
4.325000000000000372e-02 0.000000000000000000e+00
4.375000000000000416e-02 0.000000000000000000e+00
4.424999999999999767e-02 0.000000000000000000e+00
4.474999999999999811e-02 0.000000000000000000e+00
4.524999999999999856e-02 0.000000000000000000e+00
4.574999999999999900e-02 0.000000000000000000e+00
4.624999999999999944e-02 0.000000000000000000e+00
4.674999999999999989e-02 0.000000000000000000e+00
4.725000000000000033e-02 0.000000000000000000e+00
4.775000000000000078e-02 0.000000000000000000e+00
4.825000000000000122e-02 0.000000000000000000e+00
4.875000000000000167e-02 0.000000000000000000e+00
4.925000000000000211e-02 0.000000000000000000e+00
4.975000000000000255e-02 0.000000000000000000e+00
5.025000000000000300e-02 0.000000000000000000e+00
5.075000000000000344e-02 0.000000000000000000e+00
5.125000000000000389e-02 0.000000000000000000e+00
5.175000000000000433e-02 0.000000000000000000e+00
5.225000000000000477e-02 0.000000000000000000e+00
5.274999999999999828e-02 0.000000000000000000e+00
5.324999999999999872e-02 0.000000000000000000e+00
5.374999999999999917e-02 0.000000000000000000e+00
5.424999999999999961e-02 0.000000000000000000e+00
5.475000000000000006e-02 0.000000000000000000e+00
5.525000000000000050e-02 0.000000000000000000e+00
5.575000000000000094e-02 0.000000000000000000e+00
5.625000000000000139e-02 0.000000000000000000e+00
5.675000000000000183e-02 0.000000000000000000e+00
5.725000000000000228e-02 0.000000000000000000e+00
5.775000000000000272e-02 0.000000000000000000e+00
5.825000000000000316e-02 0.000000000000000000e+00
5.875000000000000361e-02 0.000000000000000000e+00
5.925000000000000405e-02 0.000000000000000000e+00
5.975000000000000450e-02 0.000000000000000000e+00
6.024999999999999800e-02 0.000000000000000000e+00
6.074999999999999845e-02 0.000000000000000000e+00
6.124999999999999889e-02 0.000000000000000000e+00
6.174999999999999933e-02 0.000000000000000000e+00
6.224999999999999978e-02 0.000000000000000000e+00
6.275000000000000022e-02 0.000000000000000000e+00
6.325000000000000067e-02 0.000000000000000000e+00
6.375000000000000111e-02 0.000000000000000000e+00
6.425000000000000155e-02 0.000000000000000000e+00
6.475000000000000200e-02 0.000000000000000000e+00
6.525000000000000244e-02 0.000000000000000000e+00
6.575000000000000289e-02 0.000000000000000000e+00
6.625000000000000333e-02 0.000000000000000000e+00
6.675000000000000377e-02 0.000000000000000000e+00
6.725000000000000422e-02 0.000000000000000000e+00
6.775000000000000466e-02 0.000000000000000000e+00
6.825000000000000511e-02 0.000000000000000000e+00
6.875000000000000555e-02 0.000000000000000000e+00
6.925000000000000600e-02 0.000000000000000000e+00
6.975000000000000644e-02 0.000000000000000000e+00
7.025000000000000688e-02 0.000000000000000000e+00
7.075000000000000733e-02 0.000000000000000000e+00
7.125000000000000777e-02 0.000000000000000000e+00
7.175000000000000822e-02 0.000000000000000000e+00
7.225000000000000866e-02 0.000000000000000000e+00
7.274999999999999523e-02 0.000000000000000000e+00
7.324999999999999567e-02 0.000000000000000000e+00
7.374999999999999611e-02 0.000000000000000000e+00
7.424999999999999656e-02 0.000000000000000000e+00
7.474999999999999700e-02 0.000000000000000000e+00
7.524999999999999745e-02 0.000000000000000000e+00
7.574999999999999789e-02 0.000000000000000000e+00
7.624999999999999833e-02 0.000000000000000000e+00
7.674999999999999878e-02 0.000000000000000000e+00
7.724999999999999922e-02 0.000000000000000000e+00
7.774999999999999967e-02 0.000000000000000000e+00
7.825000000000000011e-02 0.000000000000000000e+00
7.875000000000000056e-02 0.000000000000000000e+00
7.925000000000000100e-02 0.000000000000000000e+00
7.975000000000000144e-02 0.000000000000000000e+00
8.025000000000000189e-02 0.000000000000000000e+00
8.075000000000000233e-02 0.000000000000000000e+00
8.125000000000000278e-02 0.000000000000000000e+00
8.175000000000000322e-02 0.000000000000000000e+00
8.225000000000000366e-02 0.000000000000000000e+00
